"Genotype";"Angle_Yr";"AUDPC_days_Yr";"AUDPC_GDD_Yr";"GDD50_Yr";"maxVar_Yr"
"G222";1.34477903488553;524.962152118168;21768.3979905002;1651.80871472;31.4261613258179
"G223";0.999779034885529;484.545485451501;18801.7715562808;1639.30871472;23.0928279924846
"G224";0.674779034885529;310.628818784835;10357.7352695741;1639.30871472;15.5928279924846
"G225";0.483112368218861;184.545485451502;7167.5778892385;1671.80871472;11.4261613258179
"G226";0.558765163725968;218.031936896584;8631.35522812866;1639.39335227128;13.1121884695617
"G227";1.84644570155219;731.212152118168;23694.687510526;1541.16204805334;44.7594946591513
"G228";1.3464457015522;569.295485451501;20544.0958111455;1582.11038138667;31.4261613258179
"G229";1.63144570155219;653.295485451501;26742.3362320916;1584.47204805334;38.0928279924846
"G230";1.99811236821886;942.045485451501;32811.3365809822;1488.04538138667;48.0928279924846
"G231";0.377376486002673;96.2738015776776;6115.09908413155;1716.37835188208;8.66679293335768
"G232";3.03276516372597;1192.03193689658;42407.9272047659;1347.43135227128;74.1121884695618
"G233";0.418008509832507;157.688944915575;6348.54808817994;1687.0015581117;10.0844847649224
"G234";1.31811236821886;538.045485451502;15158.2910823337;1590.65204805333;31.4261613258179
"G235";0.31311236821886;61.6288187848344;4501.01441816188;1704.30871472;7.25949465915122
"G236";1.03644570155219;377.628818784835;14895.9120683224;1688.05871472;24.7594946591512
"G237";1.19977903488553;539.128818784835;18518.5864618856;1606.48538138667;28.0928279924846
"G238";0.688415588896443;316.472612373117;10728.3024643279;1633.59484712317;15.8821301136061
"G239";1.62841558889644;609.472612373117;19189.164507068;1634.62284712317;38.8821301136061
"G240";0.436445701552195;116.628818784835;5338.79466507394;1643.37038138667;9.75949465915123
"G241";0.720515178057712;232.857428711868;7191.03857119068;1620.62495906607;17.0132294260221
"G242";0.206340444366321;134.884579486707;2615.07811398752;1628.79641252031;4.54587608301693
"G243";2.63477903488553;1155.37881878483;44734.5439927842;1247.75704805334;61.4261613258179
